OID_,Lat_Center,Lon_Center,Area_Geo,AR,Height_km,Diam_Geo,Length_km,Width_km
80,-21.343215938299998,-121.206557594000003,19999.953403600000456,0.891156036803000,0.719700000000000,151.074999999999989,159.770000000000010,142.379999999999995
81,-37.781111846500004,-113.485494954999993,158087.305106999992859,0.915033405101000,0.890043478261000,431.389999999999986,450.529999999999973,412.250000000000000
82,-44.550915496599998,-86.688738960300000,54373.223426899996412,0.709982997328000,1.710150000000000,246.400000000000006,288.189999999999998,204.610000000000014
83,-27.096952943600002,-87.072149973799995,45912.453333799996471,0.803934763677000,1.667142857140000,227.854999999999990,252.620000000000005,203.090000000000003
84,19.092925331899998,-91.684637552799998,86181.313285199998063,0.905954454953000,0.820411764706000,306.324999999999989,321.439999999999998,291.209999999999980
85,57.519898388999998,-105.108861669999996,100471.320825000002515,0.925179499876000,1.659050000000000,388.790000000000020,403.899999999999977,373.680000000000007
86,76.046753708899999,-124.288980115000001,34998.160180500002753,0.986192143135000,1.403230769230000,204.259999999999991,205.680000000000007,202.840000000000003
87,-41.902911535800001,41.565684972600003,43912.488170800002990,0.869181612039000,0.631782608696000,226.685000000000002,242.550000000000011,210.819999999999993
88,-34.177240528699997,86.381269478500002,89804.974240399998962,0.999188108918000,1.974000000000000,320.110000000000014,320.240000000000009,319.980000000000018
89,53.026614081900000,150.905535393999997,12315.628733400000783,0.829575700642000,0.530952380952000,116.855000000000004,127.739999999999995,105.969999999999999
90,2.719637053220000,172.857445442999989,45565.255876600000192,0.887326925520000,0.616666666667000,222.865000000000009,236.169999999999987,209.560000000000002
91,-9.503056783060000,-51.911491759900002,50379.536275400001614,0.822244851776000,0.788235294118000,241.574999999999989,265.139999999999986,218.009999999999991
92,-38.289894105999998,-56.540667535399997,23162.940385400001105,0.752178383937000,1.437785714290000,161.875000000000000,184.770000000000010,138.979999999999990
93,-38.874001472200000,-35.321565913900002,109724.950362999996287,0.853840239667000,1.648181818180000,349.625000000000000,377.189999999999998,322.060000000000002
94,21.778774299799998,-8.151598043160000,37517.374563199999102,0.805227322644000,1.876444444440000,205.479999999999990,227.650000000000006,183.310000000000002
95,8.687136506020000,-52.476376076500003,634913.777743999962695,0.676610491982000,1.981125000000000,863.554999999999950,1030.119999999999891,696.990000000000009
96,13.876539227000000,-45.219584070800003,201585.719419000000926,0.842115351440000,0.812473684211000,480.524999999999977,521.710000000000036,439.339999999999975
97,13.884317171699999,161.576289876000004,30974.887764200000674,0.843399356035000,1.390291666670000,188.930000000000007,204.979999999999990,172.879999999999995
98,-47.517585356100000,58.169260402100001,17328.933537199998682,0.891801682776000,0.632428571429000,136.030000000000001,143.810000000000002,128.250000000000000
99,-43.965766712600001,-51.053370201900002,115665.209724999993341,0.863769165137000,1.158619047620000,360.425000000000011,386.769999999999982,334.079999999999984
100,-55.485052842700000,57.087806076299998,65528.432439999996859,0.946006912862000,0.410000000000000,267.430000000000007,274.850000000000023,260.009999999999991
101,-69.687078753099996,86.966881643199997,84162.928235700004734,0.820609649255000,0.448523809524000,301.319999999999993,331.009999999999991,271.629999999999995
102,-6.187841829560000,-60.737497072499998,24300.527306600000884,0.623925397057000,1.517857142860000,167.175000000000011,205.889999999999986,128.460000000000008
