OID_,Lat_Center,Lon_Center,Area_Geo,AR,Height_km,Diam_Geo,Length_km,Width_km,Center_DEM_Altitude_m,Ellipse_Min_Altitude_m,Ellipse_Mean_Altitude_m,Ellipse_Max_Altitude_m,Estimated_Local_Base_m,Center_DEM_Altitude_km,Ellipse_Min_Altitude_km,Ellipse_Mean_Altitude_km,Ellipse_Max_Altitude_km,Estimated_Local_Base_km
89,53.0266140819,150.905535394,12315.6287334,0.829575700642,0.530952380952,116.855,127.74,105.97,987.0,654.0,959.5441767068273,1287.0,756.047619048,0.987,0.654,0.9595441767068273,1.287,0.756047619048
90,2.71963705322,172.857445443,45565.2558766,0.88732692552,0.616666666667,222.865,236.17,209.56,1306.0,618.0,1007.9485334809076,1353.0,736.333333333,1.306,0.618,1.0079485334809075,1.353,0.736333333333
91,-9.50305678306,-51.9114917599,50379.5362754,0.822244851776,0.788235294118,241.575,265.14,218.01,1597.0,940.0,1479.7967711301044,2012.0,1223.764705882,1.597,0.94,1.4797967711301043,2.012,1.223764705882
92,-38.289894106,-56.5406675354,23162.9403854,0.752178383937,1.43778571429,161.875,184.77,138.98,3207.0,2408.0,2905.320321469575,3994.0,2556.21428571,3.207,2.408,2.905320321469575,3.994,2.55621428571
93,-38.8740014722,-35.3215659139,109724.950363,0.853840239667,1.64818181818,349.625,377.19,322.06,3127.0,1388.0,2414.8404519774012,3256.0,1607.8181818199998,3.127,1.388,2.414840451977401,3.256,1.60781818182
94,21.7787742998,-8.15159804316,37517.3745632,0.805227322644,1.87644444444,205.48,227.65,183.31,3159.0,1579.0,2359.207349081365,3589.0,1712.5555555600001,3.159,1.579,2.359207349081365,3.589,1.71255555556
95,8.68713650602,-52.4763760765,634913.777744,0.676610491982,1.981125,863.5549999999998,1030.12,696.99,1250.0,-826.0,751.407486631016,2601.0,619.875,1.25,-0.826,0.751407486631016,2.601,0.619875
96,13.876539227,-45.2195840708,201585.719419,0.84211535144,0.812473684211,480.525,521.71,439.34,481.0,-87.0,436.5286448989355,1232.0,419.526315789,0.481,-0.087,0.4365286448989355,1.232,0.419526315789
97,13.8843171717,161.576289876,30974.8877642,0.843399356035,1.39029166667,188.93,204.98,172.88,1684.0,163.0,488.79256965944273,1736.0,345.70833332999996,1.684,0.163,0.48879256965944273,1.736,0.34570833332999995
98,-47.5175853561,58.1692604021,17328.9335372,0.891801682776,0.632428571429,136.03,143.81,128.25,1086.0,518.0,829.7462908011869,1233.0,600.571428571,1.086,0.518,0.8297462908011869,1.233,0.600571428571
99,-43.9657667126,-51.0533702019,115665.209725,0.863769165137,1.15861904762,360.425,386.77,334.08,1465.0,55.0,1004.5242243943901,1990.0,831.38095238,1.465,0.055,1.0045242243943902,1.99,0.8313809523800001
100,-55.4850528427,57.0878060763,65528.43244,0.946006912862,0.41,267.43,274.85,260.01,,1603.0,1660.6315789473683,1708.0,1298.0,,1.603,1.6606315789473682,1.708,1.298
101,-69.6870787531,86.96688164319998,84162.9282357,0.820609649255,0.448523809524,301.32,331.01,271.63,873.0,601.0,991.242673992674,1359.0,910.476190476,0.873,0.601,0.991242673992674,1.359,0.910476190476
102,-6.18784182956,-60.7374970725,24300.5273066,0.623925397057,1.51785714286,167.175,205.89,128.46,3309.0,1535.0,2404.860392967942,3672.0,2154.14285714,3.309,1.535,2.404860392967942,3.672,2.15414285714
103,6.82411263231,158.178511229,24585.3689355,0.909688013136,0.884571428571,162.82,170.52,155.12,1502.0,497.0,806.5950155763239,1584.0,699.4285714289999,1.502,0.497,0.806595015576324,1.584,0.699428571429
104,8.97918352274,171.568563743,200603.933874,0.832362521556,0.9595,478.155,521.9,434.41,925.0,-268.0,435.43199419167473,1350.0,390.5,0.925,-0.268,0.4354319941916747,1.35,0.3905
105,29.9183157416,48.7196302037,524342.794806,0.825318590482,4.92476,768.45,841.99,694.91,2347.0,134.0,2057.512185976753,6004.0,1079.2399999999998,2.347,0.134,2.0575121859767527,6.004,1.0792399999999998
106,22.6550321894,-1.32926716939,129198.170627,0.858591454309,2.73714285714,385.825,415.18,356.47,2899.0,1780.0,2412.194737817306,4689.0,1951.8571428600003,2.899,1.78,2.412194737817306,4.689,1.9518571428600002
107,29.5043222589,-4.69931134208,12302.5257752,0.902935985882,0.457111111111,118.61,124.66,112.56,1040.0,721.0,924.6235294117647,1284.0,826.888888889,1.04,0.721,0.9246235294117647,1.284,0.826888888889
108,-6.39193322351,172.302960528,18971.642569,0.782563219098,0.939947368421,144.86,162.53,127.19,1748.0,498.0,1182.7213333333334,2080.0,1140.052631579,1.748,0.498,1.1827213333333335,2.08,1.140052631579
109,-8.21249672174,-117.081522137,131979.550528,0.960459606125,1.09404166667,384.75,392.51,376.99,1314.0,144.0,1257.688044485635,2133.0,1038.9583333300002,1.314,0.144,1.2576880444856349,2.133,1.03895833333
110,-7.13132319606,-138.24536756,144801.789424,0.895806073962,3.60296,412.935,435.63,390.24,2941.0,-47.0,2388.5846501128667,5086.0,1483.04,2.941,-0.047,2.388584650112867,5.086,1.48304
111,3.5449289281,-89.96153155909998,10233.6898099,0.958411040656,2.67425,105.01,107.24,102.78,3217.0,543.0,1076.1571072319202,3308.0,633.75,3.217,0.543,1.0761571072319203,3.308,0.63375
112,-10.7040644455,173.069983411,106559.866005,0.949257425743,2.81156,346.5,355.52,337.48,3626.0,-169.0,2305.527181361352,4401.0,1589.44,3.626,-0.169,2.3055271813613523,4.401,1.58944
113,65.6389195556,-81.58813910009998,89104.9146495,0.496836857082,0.909243243243,318.235,425.21,211.26,725.0,216.0,937.3390400489147,1734.0,824.7567567570001,0.725,0.216,0.9373390400489148,1.734,0.8247567567570001
114,-11.0072048574,-148.681794966,60384.8050887,0.878753685437,2.07539130435,258.075,274.73,241.42,2389.0,53.0,1546.2727649006622,3437.0,1361.6086956499998,2.389,0.053,1.5462727649006622,3.437,1.3616086956499998
115,-8.96685386721,-145.73165925,148818.793467,0.945191215449,1.79956,410.98,422.56,399.4,2451.0,-1100.0,1563.1097382539424,3099.0,1299.44,2.451,-1.1,1.5631097382539425,3.099,1.2994400000000002
116,32.0523393892,-115.612135029,18362.1845112,0.819770684847,1.01985714286,146.81,161.35,132.27,909.0,241.0,703.5545571245186,1461.0,441.14285713999993,0.909,0.241,0.7035545571245186,1.461,0.44114285713999996
117,-59.2416204743,56.7477864715,28596.7791942,0.853975,0.0,175.765,187.23,164.3,,,,,,,,,,
